job_id,source_filename,row_number,business_name,normalized_business_name,website,phone,email,linkedin,facebook,instagram,decision_maker_name,decision_maker_title,confidence_score,validation_errors
1986527f-d92a-41cb-90ba-6b9e30e51ec6,myleads.csv,2,Happy Tours Travel Agency,Happy Tours Travel Agency,http://www.happytourstravel.com/,12132528559,,,https://www.facebook.com/happytourstravelagency,https://www.instagram.com/happytourstravel/,,,30,
1986527f-d92a-41cb-90ba-6b9e30e51ec6,myleads.csv,3,Festival Travel,Festival Travel,https://en.festival.travel/festivals/,13106238687,clientservice@travel.superstruct.com,,,,Festival Travel About us,Partner,75,
1986527f-d92a-41cb-90ba-6b9e30e51ec6,myleads.csv,4,Travel Landing USA,Travel Landing USA,https://www.mapquest.com/us/california/travel-landing-usa-279457463,13239321222,,,,,,,50,
1986527f-d92a-41cb-90ba-6b9e30e51ec6,myleads.csv,5,Alcava Travel Agency,Alcava Travel Agency,https://www.chamberofcommerce.com/business-directory/california/los-angeles/travel-agency/2005374409-alcava-travel-agency,Send to phone,,,,,,,50,
1986527f-d92a-41cb-90ba-6b9e30e51ec6,myleads.csv,6,Tropicana Travel Agency,Tropicana Travel Agency,http://www.tropicanatravelagency.com/,18054832287,sample@yourcompany.com,,,,,,25,
1986527f-d92a-41cb-90ba-6b9e30e51ec6,myleads.csv,7,All-Travel,All-Travel,https://www.all-travel.com/?utm_source=gmb+listing&utm_medium=organic,18003004567,,https://www.linkedin.com/company/all-travel/,https://www.facebook.com/AllTravelNetwork/,https://www.instagram.com/all.travel/,,,25,
1986527f-d92a-41cb-90ba-6b9e30e51ec6,myleads.csv,8,Cali Travel,Cali Travel,http://calitravel.com/,17145923715,info@calitravel.com,,http://www.facebook.com/calitravelus,https://www.instagram.com/calitravelus?igsh=NmtndGo5aDF6cnM2,User Type Normal User,Partner,50,
1986527f-d92a-41cb-90ba-6b9e30e51ec6,myleads.csv,9,Holiday Travel Agency,Holiday Travel Agency,https://tantulika12.wixsite.com/travel/20,12136576576,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,,,,,,25,
1986527f-d92a-41cb-90ba-6b9e30e51ec6,myleads.csv,10,TravelStore Los Angeles - Headquarters,TravelStore Los Angeles - Headquarters,https://www.travelstore.com/vacation/locations-leisure/los-angeles/,13105755540,info@travelstore.com,https://www.linkedin.com/company/travelstore,https://www.facebook.com/travelstoreinc,https://www.instagram.com/travelstore/,Before starting TravelStore in,Founder,65,
1986527f-d92a-41cb-90ba-6b9e30e51ec6,myleads.csv,11,California Travel,California Travel,https://www.amigonotarytax2.com/,13232650014,user@domain.com,,https://www.facebook.com/profile.php?id=100009295144895,https://www.instagram.com/amigonotarytax2/?hl=es,,,40,
